exposure,ag,gender,years_fu,external_accident,external_suicide,other,total
TRUE,18,male,123.920602327173,0,0,0,0
TRUE,19,female,416.161533196441,0,0,0,0
TRUE,19,male,508.613278576318,1,1,1,3
TRUE,20,female,875.039014373717,0,1,3,4
TRUE,20,male,1155.0417522245,2,3,3,8
TRUE,21,female,1449.32238193018,1,2,3,6
TRUE,21,male,2026.27241615332,6,1,14,21
TRUE,22,female,2167.62217659138,2,2,4,8
TRUE,22,male,3122.73785078713,7,5,10,22
TRUE,23,female,2947.29363449692,3,7,6,16
TRUE,23,male,4457.47570157426,19,3,16,38
TRUE,24,female,3821.66461327858,4,1,8,13
TRUE,24,male,6049.32238193018,16,3,13,32
TRUE,25,female,4732.91991786448,6,6,3,15
TRUE,25,male,7792.82135523614,27,6,35,68
TRUE,26,female,5753.8726899384,13,0,11,24
TRUE,26,male,9765.50034223135,34,6,37,77
TRUE,27,female,6745.97672826831,5,4,8,17
TRUE,27,male,11906.46954141,30,10,49,89
TRUE,28,female,7774.50787132101,15,4,15,34
TRUE,28,male,14157.0595482546,58,14,40,112
TRUE,29,female,8660.42436687201,15,4,20,39
TRUE,29,male,16389.826146475,43,19,40,102
TRUE,30,female,9429.61533196441,20,3,28,51
TRUE,30,male,18579.1540041068,53,23,57,133
TRUE,31,female,10218.7323750856,13,8,29,50
TRUE,31,male,20802.7323750856,58,13,74,145
TRUE,32,female,10920.8459958932,23,8,28,59
TRUE,32,male,22988.5311430527,96,18,74,188
TRUE,33,female,11466.8145106092,21,12,43,76
TRUE,33,male,24988.3641341547,68,27,94,189
TRUE,34,female,11943.4715947981,30,16,38,84
TRUE,34,male,26730.0506502396,114,29,102,245
TRUE,35,female,12116.2026009582,33,12,51,96
TRUE,35,male,28229.106091718,119,32,86,237
TRUE,36,female,12191.8740588638,31,12,62,105
TRUE,36,male,29444.0136892539,115,31,112,258
TRUE,37,female,12101.6235455168,28,13,77,118
TRUE,37,male,29909.5222450376,140,33,145,318
TRUE,38,female,11807.6933607118,37,13,66,116
TRUE,38,male,29787.1540041068,154,41,152,347
TRUE,39,female,11334.2340862423,49,9,69,127
TRUE,39,male,29282.8884325804,143,36,179,358
TRUE,40,female,10837.4702258727,40,15,77,132
TRUE,40,male,28556.6488706366,137,47,169,353
TRUE,41,female,10289.7823408624,37,12,66,115
TRUE,41,male,27486.7926078029,141,37,176,354
TRUE,42,female,9758.37919233402,29,9,72,110
TRUE,42,male,26508.8377823409,124,27,205,356
TRUE,43,female,9187.0006844627,27,7,60,94
TRUE,43,male,25290.2559890486,96,30,202,328
TRUE,44,female,8639.5318275154,29,3,74,106
TRUE,44,male,23884.4380561259,124,18,243,385
TRUE,45,female,8117.20191649555,36,1,74,111
TRUE,45,male,22189.7741273101,148,43,202,393
TRUE,46,female,7553.08692676249,26,7,88,121
TRUE,46,male,20547.5017111567,107,21,211,339
TRUE,47,female,6990.340862423,29,5,81,115
TRUE,47,male,18831.1375770021,102,19,217,338
TRUE,48,female,6466.85284052019,30,9,84,123
TRUE,48,male,17204.3258042437,113,15,215,343
TRUE,49,female,5937.41546885695,19,2,68,89
TRUE,49,male,15515.6386036961,75,25,211,311
TRUE,50,female,5447.37303216975,19,5,85,109
TRUE,50,male,13952.6598220397,72,5,224,301
TRUE,51,female,4952.06844626968,25,4,71,100
TRUE,51,male,12355.8631074606,67,14,215,296
TRUE,52,female,4484.02737850787,24,5,59,88
TRUE,52,male,10954.8720054757,59,11,203,273
TRUE,53,female,3979.87405886379,12,1,75,88
TRUE,53,male,9574.63107460643,27,9,185,221
TRUE,54,female,3524.4900752909,12,2,76,90
TRUE,54,male,8351.87953456537,31,14,197,242
TRUE,55,female,3136.37508555784,11,2,59,72
TRUE,55,male,7190.62286105407,28,4,164,196
TRUE,56,female,2823.81656399726,5,1,67,73
TRUE,56,male,6214.83915126626,28,9,154,191
TRUE,57,female,2512.61054072553,5,1,63,69
TRUE,57,male,5367.92334017796,15,6,151,172
TRUE,58,female,2270.91307323751,5,0,44,49
TRUE,58,male,4649.25393566051,21,3,133,157
TRUE,59,female,2069.76043805613,8,3,45,56
TRUE,59,male,4072.98288843258,17,5,135,157
TRUE,60,female,1869.93292265572,8,1,54,63
TRUE,60,male,3595.15947980835,18,6,150,174
TRUE,61,female,1675.56741957563,2,0,63,65
TRUE,61,male,3118.82272416153,14,4,118,136
TRUE,62,female,1530.01779603012,4,2,45,51
TRUE,62,male,2736.87611225188,12,4,116,132
TRUE,63,female,1421.80698151951,4,1,38,43
TRUE,63,male,2385.14168377823,8,0,113,121
TRUE,64,female,1345.21560574949,3,0,49,52
TRUE,64,male,2088.56673511294,7,2,108,117
TRUE,65,female,1173.05407255305,3,0,48,51
TRUE,65,male,1740.14784394251,3,1,75,79
TRUE,66,female,975.247091033539,0,2,25,27
TRUE,66,male,1414.54346338125,2,0,45,47
TRUE,67,female,816.613278576318,1,0,31,32
TRUE,67,male,1137.84257357974,2,0,41,43
TRUE,68,female,669.702943189596,0,0,17,17
TRUE,68,male,907.838466803559,1,1,36,38
TRUE,69,female,541.549623545517,1,0,21,22
TRUE,69,male,708.027378507871,3,1,32,36
TRUE,70,female,436.843258042437,2,0,19,21
TRUE,70,male,548.651608487337,2,0,28,30
TRUE,71,female,367.603011635866,0,0,9,9
TRUE,71,male,420.117727583847,0,0,20,20
TRUE,72,female,281.864476386037,0,0,10,10
TRUE,72,male,329.051334702259,0,0,17,17
TRUE,73,female,215.652292950034,0,0,9,9
TRUE,73,male,252.229979466119,0,0,12,12
TRUE,74,female,159.619438740589,0,0,7,7
TRUE,74,male,177.308692676249,0,0,15,15
TRUE,75,female,126.209445585216,0,0,4,4
TRUE,75,male,129.749486652977,2,0,6,8
TRUE,76,female,91.7015742642026,1,0,2,3
TRUE,76,male,86.5215605749487,0,0,10,10
TRUE,77,female,64.9801505817933,0,0,1,1
TRUE,77,male,60.4188911704312,0,0,6,6
TRUE,78,female,51.7973990417522,0,0,3,3
TRUE,78,male,38.7898699520876,0,0,2,2
TRUE,79,female,39.6577686516085,0,0,4,4
TRUE,79,male,27.5920602327173,0,0,3,3
TRUE,80,female,74.6748802190281,0,0,3,3
TRUE,80,male,33.201916495551,0,0,2,2
